,category,indicator,indicator_name,unit,sub_category,year,value,company name
270,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",metric tonnes,Total PM10 emissions,2022,61.532,IAMGOLD
273,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",kg,Total volatile organic compounds (VOCs) emissions,2022,0.159,IAMGOLD
274,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",GJ,Total energy consumed,2022,10047327,IAMGOLD
275,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2022,12.67656562,IAMGOLD
276,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from renewable electricity,2022,0.000982152,IAMGOLD
277,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",megalitres,Total water withdrawn,2022,57420,IAMGOLD
278,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",megalitres,Total water consumed,2022,37026,IAMGOLD
306,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",number,Number of Fatalities,2022,1,IAMGOLD
312,Production,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,oz,Production of metal ores,2022,799000,IAMGOLD
313,Production,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,oz,Production of finished metal products,2022,799000,IAMGOLD
315,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",number,Total number of contractors,2022,1887,IAMGOLD
317,Revenue,Revenue,,USD,Revenue,2022,958800000,IAMGOLD
318,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",tCO2e,Total gross global scope 1 emissions (CO2),2023,439244,IAMGOLD
320,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",tCO2e,Total CO emissions,2023,440296,IAMGOLD
321,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total NOx emissions,2023,4241890,IAMGOLD
322,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",metric tonnes,Total SOx emissions,2023,2253.871,IAMGOLD
323,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",metric tonnes,Total PM10 emissions,2023,54.563,IAMGOLD
326,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",kg,Total volatile organic compounds (VOCs) emissions,2023,40.839,IAMGOLD
327,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",GJ,Total energy consumed,2023,6875802,IAMGOLD
328,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2023,8.51285421,IAMGOLD
329,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from renewable electricity,2023,0.001187062,IAMGOLD
330,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",megalitres,Total water withdrawn,2023,15960,IAMGOLD
331,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",megalitres,Total water consumed,2023,5537,IAMGOLD
333,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",thousand cubic metres,Total water consumed in high or extremely high baseline water stress areas,2023,5537,IAMGOLD
334,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",%,Percentage of water withdrawn in high or extremely high baseline water stress areas against total freshwater withdrawn,2023,53.4,IAMGOLD
336,Water Management,EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",number,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",2023,3,IAMGOLD
337,Waste Management,EM-MM-150a.4,Total weight of non-mineral waste generated,metric tonnes,Total weight of non-mineral waste generated,2023,38031,IAMGOLD
338,Waste Management,EM-MM-150a.5,Total weight of tailings produced,metric tonnes,Total weight of tailings produced,2023,12210780,IAMGOLD
339,Waste Management,EM-MM-150a.6,Total weight of waste rock generated,metric tonnes,Total weight of waste rock generated,2023,49358089,IAMGOLD
340,Waste Management,EM-MM-150a.7,Total weight of hazardous waste generated,metric tonnes,Total weight of hazardous waste generated,2023,27660667,IAMGOLD
341,Waste Management,EM-MM-150a.8,Total weight of hazardous waste recycled,metric tonnes,Total weight of hazardous waste recycled,2023,0,IAMGOLD
342,Waste Management,EM-MM-150a.9,Number of significant incidents associated with hazardous materials and waste management,number,Number of significant incidents associated with hazardous materials and waste management,2023,0,IAMGOLD
343,Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",%,Percentage of total mine sites where acid rock drainage is predicted to occur,2023,0,IAMGOLD
344,Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",%,Percentage of total mine sites where acid rock drainage is actively mitigated,2023,81.6,IAMGOLD
345,Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",%,Percentage of total mine sites where acid rock drainage is under treatment or remediation,2023,18.4,IAMGOLD
347,Biodiversity Impacts,EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,%,Percentage of total area of probable reserves in or near sites with protected conservation status or endangered species habitat,2023,100,IAMGOLD
352,Community Relations,EM-MM-210b.2,(1) Number and (2) duration of nontechnical delays,number,Number of non-technical delays,2023,0,IAMGOLD
353,Community Relations,EM-MM-210b.2,(1) Number and (2) duration of nontechnical delays,days,Duration of non-technical delays,2023,0,IAMGOLD
354,Labour Practices,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",percent,Percentage of active workforce employed under collective agreement,2023,98,IAMGOLD
355,Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,number,Number of strikes and lockouts,2023,0,IAMGOLD
356,Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,days,Duration of strikes and lockouts,2023,0,IAMGOLD
357,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Total number of MSHA incidents,2023,0,IAMGOLD
358,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Rate (per million hours worked),Total MSHA all-incidents rate,2023,0,IAMGOLD
359,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",number,Number of Fatalities,2023,0,IAMGOLD
365,Production,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,oz,Production of metal ores,2023,506000,IAMGOLD
366,Production,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,oz,Production of finished metal products,2023,506000,IAMGOLD
367,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",number,Total number of employees,2023,3632,IAMGOLD
368,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",number,Total number of contractors,2023,1683,IAMGOLD
370,Revenue,Revenue,,USD,Revenue,2023,987100000,IAMGOLD
374,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total NOx emissions,2024,5459674,IAMGOLD
