,category,indicator,indicator_name,unit,sub_category,year,value,company name
172,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",m³,Total water consumed,2020,17896783,Agnico Eagle
177,Water Management,EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",incidents,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",2020,0,Agnico Eagle
181,Waste Management,EM-MM-150a.7,Total weight of hazardous waste generated,tonnes,Total weight of hazardous waste generated,2020,8172.02,Agnico Eagle
196,Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,count,Number of strikes and lockouts,2020,0,Agnico Eagle
197,Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,days,Duration of strikes and lockouts,2020,0,Agnico Eagle
200,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Number of Fatalities,2020,0,Agnico Eagle
206,Production,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,Tonnes,Production of metal ores,2020,42788331,Agnico Eagle
208,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",number,Total number of employees,2020,"12,431",Agnico Eagle
209,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",number,Total number of contractors,2020,"4,129",Agnico Eagle
210,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",%,Percentage of employees who are contractors,2020,33,Agnico Eagle
211,Revenue,Revenue,,USD,Revenue,2020,3138113000,Agnico Eagle
212,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",tonnes CO2E,Total gross global scope 1 emissions (CO2),2021,1111124,Agnico Eagle
221,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",GJ,Total energy consumed,2021,20271083,Agnico Eagle
224,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",m³,Total water withdrawn,2021,10122405,Agnico Eagle
225,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",m³,Total water consumed,2021,23465210,Agnico Eagle
230,Water Management,EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",incidents,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",2021,0,Agnico Eagle
234,Waste Management,EM-MM-150a.7,Total weight of hazardous waste generated,tonnes,Total weight of hazardous waste generated,2021,8424,Agnico Eagle
249,Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,count,Number of strikes and lockouts,2021,0,Agnico Eagle
250,Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,days,Duration of strikes and lockouts,2021,0,Agnico Eagle
253,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Number of Fatalities,2021,1,Agnico Eagle
259,Production,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,Tonnes,Production of metal ores,2021,46412108,Agnico Eagle
261,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",number,Total number of employees,2021,"14,301",Agnico Eagle
262,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",number,Total number of contractors,2021,"5,154",Agnico Eagle
263,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",%,Percentage of employees who are contractors,2021,36,Agnico Eagle
264,Revenue,Revenue,,USD,Revenue,2021,3869625000,Agnico Eagle
265,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",tonnes CO2E,Total gross global scope 1 emissions (CO2),2022,1117861,Agnico Eagle
274,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",GJ,Total energy consumed,2022,20587814,Agnico Eagle
277,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",m³,Total water withdrawn,2022,9347637,Agnico Eagle
278,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",m³,Total water consumed,2022,30330094,Agnico Eagle
283,Water Management,EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",incidents,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",2022,0,Agnico Eagle
287,Waste Management,EM-MM-150a.7,Total weight of hazardous waste generated,tonnes,Total weight of hazardous waste generated,2022,"8,447",Agnico Eagle
302,Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,count,Number of strikes and lockouts,2022,0,Agnico Eagle
303,Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,days,Duration of strikes and lockouts,2022,0,Agnico Eagle
306,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Number of Fatalities,2022,1,Agnico Eagle
312,Production,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,Tonnes,Production of metal ores,2022,46164794,Agnico Eagle
314,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",number,Total number of employees,2022,"14,133",Agnico Eagle
315,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",number,Total number of contractors,2022,"4,674",Agnico Eagle
316,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",%,Percentage of employees who are contractors,2022,33,Agnico Eagle
317,Revenue,Revenue,,USD,Revenue,2022,5741162000,Agnico Eagle
318,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",tonnes CO2E,Total gross global scope 1 emissions (CO2),2023,1150541,Agnico Eagle
321,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",tonnes,Total NOx emissions,2023,25850,Agnico Eagle
322,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",tonnes,Total SOx emissions,2023,1721,Agnico Eagle
327,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",GJ,Total energy consumed,2023,26358718,Agnico Eagle
328,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2023,89.44209117,Agnico Eagle
329,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from renewable electricity,2023,55.57269898,Agnico Eagle
330,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",m³,Total water withdrawn,2023,8615007,Agnico Eagle
331,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",m³,Total water consumed,2023,33156853,Agnico Eagle
340,Waste Management,EM-MM-150a.7,Total weight of hazardous waste generated,tonnes,Total weight of hazardous waste generated,2023,"21,541",Agnico Eagle
343,Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",percent,Percentage of total mine sites where acid rock drainage is predicted to occur,2023,41.66667,Agnico Eagle
345,Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",%,Percentage of total mine sites where acid rock drainage is under treatment or remediation,2023,33.33333,Agnico Eagle
346,Biodiversity Impacts,EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,%,Percentage of total area of proved reserves in or near sites with protected conservation status or endangered species habitat,2023,78,Agnico Eagle
347,Biodiversity Impacts,EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,%,Percentage of total area of probable reserves in or near sites with protected conservation status or endangered species habitat,2023,1,Agnico Eagle
348,Human Rights,EM-MM-210a.1,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,%,Percentage of total area of proved reserves in or near areas of conflict,2023,3,Agnico Eagle
349,Human Rights,EM-MM-210a.1,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,%,Percentage of total area of probable reserves in or near areas of conflict,2023,75,Agnico Eagle
350,Human Rights,EM-MM-210a.2,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,%,Percentage of total area of proved reserves in or near indigenous land,2023,90,Agnico Eagle
352,Community Relations,EM-MM-210b.2,(1) Number and (2) duration of nontechnical delays,count,Number of non-technical delays,2023,0,Agnico Eagle
353,Community Relations,EM-MM-210b.2,(1) Number and (2) duration of nontechnical delays,days,Duration of non-technical delays,2023,0,Agnico Eagle
355,Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,count,Number of strikes and lockouts,2023,0,Agnico Eagle
356,Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,days,Duration of strikes and lockouts,2023,0,Agnico Eagle
359,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Number of Fatalities,2023,0,Agnico Eagle
364,Business Ethics and Transparency,EM-MM-510a.2,Production in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index,Tonnes,Production in countries with the 20 lowest rankings in Transparency International's Corruption Perception Index,2023,0,Agnico Eagle
365,Production,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,Tonnes,Production of metal ores,2023,64048754,Agnico Eagle
367,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",number,Total number of employees,2023,"15,828",Agnico Eagle
368,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",number,Total number of contractors,2023,5313,Agnico Eagle
369,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",%,Percentage of employees who are contractors,2023,34,Agnico Eagle
370,Revenue,Revenue,,USD,Revenue,2023,6626909000,Agnico Eagle
