,category,indicator,indicator_name,unit,sub_category,year,value,company name
319,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",percent,Total percentage of gross global scope 1 emissions under emissions-limiting regulations,2023,80,BHP
327,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",PJ,Total energy consumed,2023,26,BHP
328,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2023,90,BHP
329,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from renewable electricity,2023,67,BHP
330,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Megalitres,Total water withdrawn,2023,"414,850",BHP
338,Waste Management,EM-MM-150a.5,Total weight of tailings produced,kt,Total weight of tailings produced,2023,185311,BHP
354,Labour Practices,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",%,Percentage of active workforce employed under collective agreement,2023,49.3,BHP
358,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",per million hours worked,Total MSHA all-incidents rate,2023,4.5,BHP
367,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of employees,2023,42319,BHP
368,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of contractors,2023,40892,BHP
370,Revenue,Revenue,,USD,Revenue,2023,53817000000,BHP
371,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",MtCO2-e,Total gross global scope 1 emissions (CO2),2024,8.2,BHP
372,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",percent,Total percentage of gross global scope 1 emissions under emissions-limiting regulations,2024,73,BHP
374,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",tonnes,Total NOx emissions,2024,"75,296",BHP
375,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",t,Total SOx emissions,2024,"13,889",BHP
377,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",tonnes,Total mercury (Hg) emissions,2024,0,BHP
380,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",PJ,Total energy consumed,2024,26,BHP
381,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2024,90,BHP
382,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from renewable electricity,2024,65,BHP
383,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Megalitres,Total water withdrawn,2024,"387,300",BHP
384,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",ML,Total water consumed,2024,"300,070",BHP
385,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",m³,Total water withdrawn in high or extremely high baseline water stress areas,2024,33330,BHP
386,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Megalitres,Total water consumed in high or extremely high baseline water stress areas,2024,27620,BHP
387,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",%,Percentage of water withdrawn in high or extremely high baseline water stress areas against total freshwater withdrawn,2024,8.605731991,BHP
388,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",%,Percentage of water consumed in high or extremely high baseline water stress areas against total freshwater consumed,2024,9.204518946,BHP
391,Waste Management,EM-MM-150a.5,Total weight of tailings produced,kt,Total weight of tailings produced,2024,185311,BHP
396,Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",%,Percentage of total mine sites where acid rock drainage is predicted to occur,2024,100,BHP
397,Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",%,Percentage of total mine sites where acid rock drainage is actively mitigated,2024,99.5,BHP
398,Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",%,Percentage of total mine sites where acid rock drainage is under treatment or remediation,2024,0,BHP
405,Community Relations,EM-MM-210b.2,(1) Number and (2) duration of nontechnical delays,Count,Number of non-technical delays,2024,2,BHP
406,Community Relations,EM-MM-210b.2,(1) Number and (2) duration of nontechnical delays,Days,Duration of non-technical delays,2024,1,BHP
407,Labour Practices,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",%,Percentage of active workforce employed under collective agreement,2024,46.4,BHP
411,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",per million hours worked,Total MSHA all-incidents rate,2024,4.7,BHP
414,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees","per 200,000 hours worked",Total near-miss frequency rate (NMFR),2024,0.09,BHP
420,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of employees,2024,40872,BHP
421,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of contractors,2024,50715,BHP
423,Revenue,Revenue,,USD,Revenue,2024,55658000000,BHP
