category,indicator,sasb_indicator_name,sub_category,units,user_units,2017,2018,2019,2020,2021,2022,2023,2024,Remarks
Labour Practices,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Percentage of active workforce employed under collective agreement,%,%,,,0.31,0.32,0.31,0.3,0.29,,
Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,Number of strikes and lockouts,Count,,,,,,,,,,
Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,Duration of strikes and lockouts,Days,,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total number of MSHA incidents,Count,,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total MSHA all-incidents rate,Rate (per million hours worked),,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Number of Fatalities,Count,Count,,,3,5,2,1,1,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total fatality rate,Rate (per million hours worked),Rate (per million hours worked),,,0.004,0.008,0.003,0.001,0.001,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total near-miss frequency rate (NMFR),Rate (per million hours worked),Rate (per million hours worked),,,0.00276,0.002576,0.00267,0.00117,0.00093,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees","Average hours of health, safety, and emergency response training for full-time employees",Hours,,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees","Average hours of health, safety, and emergency response training for contract employees",Hours,,,,,,,,,,
Business Ethics and Transparency,EM-MM-510a.2,Production in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index,Production in countries with the 20 lowest rankings in Transparency International's Corruption Perception Index,Tonnes,,,,,,,,,,
Production,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,Production of metal ores,Tonnes,,,,,,,,,,
Production,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,Production of finished metal products,Tonnes,,,,,,,,,,
Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Total number of employees,Count,Count,,,27454,24649,24703,25578,27162,,
Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Total number of contractors,Count,Count,,,42240,35270,43919,48866,85323,,
Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Percentage of employees who are contractors,%,%,,,60.61,58.56,64.12,65.69,75.56,,
Revenue,Revenue,NA,Revenue,USD,USD,,,,14198000000,22845000000,22780000000,22855000000,,
