category,indicator,sasb_indicator_name,sub_category,units,user_units,2017,2018,2019,2020,2021,2022,2023,2024,Remarks
Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Percentage energy consumed from grid electricity,%,%,,,,14.92098303,21.82101845,27.4339096,30.57781831,,
Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Percentage energy consumed from renewable electricity,%,%,,,,34.30519354,22.81448164,11.63391376,14.36188633,,
Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Total water withdrawn,Cubic meters (m³),m3,,,"80,408,051","92,339,784","92,923,678","73,408,787","81,932,301",,
Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Total water consumed,Cubic meters (m³),m3,,,"54,630,121","59,892,564","63,828,406","69,081,567","62,568,313",,
Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Total water withdrawn in high or extremely high baseline water stress areas,Cubic meters (m³),m3,,,"440,879","1,797,856","2,771,665","3,262,803","774,622",,
Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Total water consumed in high or extremely high baseline water stress areas,Cubic meters (m³),,,,,,,,,,
Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Percentage of water withdrawn in high or extremely high baseline water stress areas against total freshwater withdrawn,%,%,,,1,2,3,5,1,,
Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Percentage of water consumed in high or extremely high baseline water stress areas against total freshwater consumed,%,,,,,,,,,,
Water Management,EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations","Number of incidents of non-compliance associated with water quality permits, standards, and regulations",Count,,,,,,,,,,
Waste Management,EM-MM-150a.4,Total weight of non-mineral waste generated,Total weight of non-mineral waste generated,Tonnes,,,,,,,,,,
Waste Management,EM-MM-150a.5,Total weight of tailings produced,Total weight of tailings produced,Tonnes,,,,,,,,,,
Waste Management,EM-MM-150a.6,Total weight of waste rock generated,Total weight of waste rock generated,Tonnes,tonnes,,,"283,898,456","242,170,114","246,068,345","237,580,772","228,359,264",,
Waste Management,EM-MM-150a.7,Total weight of hazardous waste generated,Total weight of hazardous waste generated,Tonnes,tonnes,,,,,,,"7,149.10",,
Waste Management,EM-MM-150a.8,Total weight of hazardous waste recycled,Total weight of hazardous waste recycled,Tonnes,tonnes,,,,,,,65,,
Waste Management,EM-MM-150a.9,Number of significant incidents associated with hazardous materials and waste management,Number of significant incidents associated with hazardous materials and waste management,Count,,,,,,,,,,
Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",Percentage of total mine sites where acid rock drainage is predicted to occur,%,,,,,,,,,,
Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",Percentage of total mine sites where acid rock drainage is actively mitigated,%,,,,,,,,,,
Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",Percentage of total mine sites where acid rock drainage is under treatment or remediation,%,,,,,,,,,,
Biodiversity Impacts,EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,Percentage of total area of proved reserves in or near sites with protected conservation status or endangered species habitat,%,,,,,,,,,,
Biodiversity Impacts,EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,Percentage of total area of probable reserves in or near sites with protected conservation status or endangered species habitat,%,,,,,,,,,,
Human Rights,EM-MM-210a.1,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Percentage of total area of proved reserves in or near areas of conflict,%,,,,,,,,,,
Human Rights,EM-MM-210a.1,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Percentage of total area of probable reserves in or near areas of conflict,%,,,,,,,,,,
Human Rights,EM-MM-210a.2,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Percentage of total area of proved reserves in or near indigenous land,%,,,,,,,,,,
Human Rights,EM-MM-210a.2,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Percentage of total area of probable reserves in or near indigenous land,%,,,,,,,,,,
Community Relations,EM-MM-210b.2,(1) Number and (2) duration of nontechnical delays,Number of non-technical delays,Count,,,,,,,,,,
Community Relations,EM-MM-210b.2,(1) Number and (2) duration of nontechnical delays,Duration of non-technical delays,Days,,,,,,,,,,
Labour Practices,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Percentage of active workforce employed under collective agreement,%,%,,,40,41,41,51,54,,
Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,Number of strikes and lockouts,Count,Count,,,0,1,0,0,0,,
Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,Duration of strikes and lockouts,Days,,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total number of MSHA incidents,Count,,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total MSHA all-incidents rate,Rate (per million hours worked),,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Number of Fatalities,Count,Count,,,0,0,0,0,0,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total fatality rate,Rate (per million hours worked),,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total near-miss frequency rate (NMFR),Rate (per million hours worked),,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees","Average hours of health, safety, and emergency response training for full-time employees",Hours,hours,,,40,40,46,25,39,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees","Average hours of health, safety, and emergency response training for contract employees",Hours,hours,,,33,27,29,24,40,,
Business Ethics and Transparency,EM-MM-510a.2,Production in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index,Production in countries with the 20 lowest rankings in Transparency International's Corruption Perception Index,Tonnes,,,,,,,,,,
Production,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,Production of metal ores,Tonnes,KT,,,"136,868","139,011","142,494","166,908","153,366",,
Production,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,Production of finished metal products,Tonnes,,,,,,,,,,
Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Total number of employees,Count,number,,,"8,967","8,951","9,322","6,397","6,599",,
Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Total number of contractors,Count,number,,,"7,514","7,798","9,458","8,114","8,898",,
Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Percentage of employees who are contractors,%,,,,,,,,,,
Revenue,Revenue,NA,Revenue,USD,USD,,,,4213400000,2599600000,3455100000,4239700000,,
