category,indicator,sasb_indicator_name,sub_category,units,user_units,2017,2018,2019,2020,2021,2022,2023,2024,Remarks
Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",Percentage of total mine sites where acid rock drainage is under treatment or remediation,%,,,,,,,,,,
Biodiversity Impacts,EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,Percentage of total area of proved reserves in or near sites with protected conservation status or endangered species habitat,%,,,,,,,,,,
Biodiversity Impacts,EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,Percentage of total area of probable reserves in or near sites with protected conservation status or endangered species habitat,%,,,,,,,,,,
Human Rights,EM-MM-210a.1,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Percentage of total area of proved reserves in or near areas of conflict,%,,,,,,,,,,
Human Rights,EM-MM-210a.1,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Percentage of total area of probable reserves in or near areas of conflict,%,,,,,,,,,,
Human Rights,EM-MM-210a.2,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Percentage of total area of proved reserves in or near indigenous land,%,,,,,,,,,,
Human Rights,EM-MM-210a.2,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Percentage of total area of probable reserves in or near indigenous land,%,,,,,,,,,,
Community Relations,EM-MM-210b.2,(1) Number and (2) duration of nontechnical delays,Number of non-technical delays,Count,,,,,,,,,,
Community Relations,EM-MM-210b.2,(1) Number and (2) duration of nontechnical delays,Duration of non-technical delays,Days,,,,,,,,,,
Labour Practices,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Percentage of active workforce employed under collective agreement,%,%,,,,,34.5,34.3,34.4,48.8,
Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,Number of strikes and lockouts,Count,,,,,,,,,,
Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,Duration of strikes and lockouts,Days,,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total number of MSHA incidents,Count,,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total MSHA all-incidents rate,Rate (per million hours worked),,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Number of Fatalities,Count,Count,,0,1,0,0,0,0,1,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total fatality rate,Rate (per million hours worked),Rate (per million hours worked),,0,,0,0,0,0,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total near-miss frequency rate (NMFR),Rate (per million hours worked),,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees","Average hours of health, safety, and emergency response training for full-time employees",Hours,,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees","Average hours of health, safety, and emergency response training for contract employees",Hours,,,,,,,,,,
Business Ethics and Transparency,EM-MM-510a.2,Production in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index,Production in countries with the 20 lowest rankings in Transparency International's Corruption Perception Index,Tonnes,Tonnes,,0,0,0,0,0,0,0,
Production,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,Production of metal ores,Tonnes,,,,,,,,,,
Production,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,Production of finished metal products,Tonnes,,,,,,,,,,
Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Total number of employees,Count,Count,,,22060,22540,25600,25600,26800,28200,
Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Total number of contractors,Count,Count,,,1760,240,2500,2100,2100,2300,
Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Percentage of employees who are contractors,%,,,,,,,,,,
Revenue,Revenue,NA,Revenue,USD,USD,,,,20908000000,27712000000,37884000000,29056000000,,
