category,indicator,sasb_indicator_name,sub_category,units,user_units,2017,2018,2019,2020,2021,2022,2023,2024,Remarks
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total fatality rate,Rate (per million hours worked),,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total near-miss frequency rate (NMFR),Rate (per million hours worked),,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees","Average hours of health, safety, and emergency response training for full-time employees",Hours,,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees","Average hours of health, safety, and emergency response training for contract employees",Hours,,,,,,,,,,
Business Ethics and Transparency,EM-MM-510a.2,Production in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index,Production in countries with the 20 lowest rankings in Transparency International's Corruption Perception Index,Tonnes,Tonnes,,,,,,,0,,
Production,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,Production of metal ores,Tonnes,Tonnes,,,19565207,42788331,46412108,46164794,64048754,,
Production,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,Production of finished metal products,Tonnes,,,,,,,,,,
Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Total number of employees,Count,number,,,"12,266","12,431","14,301","14,133","15,828",,
Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Total number of contractors,Count,number,,,"2,922","4,129","5,154","4,674",5313,,
Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Percentage of employees who are contractors,%,%,,,24,33,36,33,34,,
Revenue,Revenue,NA,Revenue,USD,USD,,,,3138113000,3869625000,5741162000,6626909000,,
