Indicator,Indicator Name,Company,Year,Value,Units,Remarks,Validated,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2019,19,%,Total Renewable,Manual,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",South32,2023,"81,695",ML,Withdrawn Total,Manual,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",South32,2022,66962,ML,Withdrawn Total,Manual,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",South32,2021,61183,ML,Withdrawn Total,Manual,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",South32,2020,83632,ML,Withdrawn Total,Manual,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",South32,2019,89916,ML,Withdrawn Total,Manual,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",South32,2023,73867,ML,Discharged Total,Manual,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",South32,2022,87105,ML,Discharged Total,Manual,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",South32,2021,58034,ML,Discharged Total,Manual,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",South32,2020,77233,ML,Discharged Total,Manual,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",South32,2019,72861,ML,Discharged Total,Manual,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",South32,2023,65844,ML,Consumed Total,Manual,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",South32,2022,76530,ML,Consumed Total,Manual,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",South32,2021,44529,ML,Consumed Total,Manual,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",South32,2020,55522,ML,Consumed Total,Manual,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",South32,2019,54644,ML,Consumed Total,Manual,,,,
EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",South32,2023,0,Num,NA,Manual,,,,
EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",South32,2022,0,Num,NA,Manual,,,,
EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",South32,2021,0,Num,NA,Manual,,,,
EM-MM-150a.1,"Total weight of tailings waste, percentage recycled",South32,2020,1,Num,NA,Manual,,,,
EM-MM-150a.1,"Total weight of tailings waste, percentage recycled",South32,2023,"14,436,000",tonnes,Waste,Manual,,,,
EM-MM-150a.1,"Total weight of tailings waste, percentage recycled",South32,2022,"16,347,000",tonnes,Waste,Manual,,,,
EM-MM-150a.1,"Total weight of tailings waste, percentage recycled",South32,2021,"18,421,000",tonnes,Waste,Manual,,,,
EM-MM-150a.1,"Total weight of tailings waste, percentage recycled",South32,2020,"17,269,000",tonnes,Waste,Manual,,,,
EM-MM-150a.1,"Total weight of tailings waste, percentage recycled",South32,2023,"1,895,000",tonnes,Recycled,Manual,,,,
EM-MM-150a.1,"Total weight of tailings waste, percentage recycled",South32,2022,"2,537,000",tonnes,Recycled,Manual,,,,
EM-MM-150a.1,"Total weight of tailings waste, percentage recycled",South32,2021,"1,621,000",tonnes,Recycled,Manual,,,,
EM-MM-150a.1,"Total weight of tailings waste, percentage recycled",South32,2020,"1,130,000",tonnes,Recycled,Manual,,,,
EM-MM-150a.1,"Total weight of tailings waste, percentage recycled",South32,2023,11.6,%,% recycled,Manual,,,,
EM-MM-150a.1,"Total weight of tailings waste, percentage recycled",South32,2022,13.4,%,% recycled,Manual,,,,
EM-MM-150a.1,"Total weight of tailings waste, percentage recycled",South32,2021,8.1,%,% recycled,Manual,,,,
EM-MM-150a.1,"Total weight of tailings waste, percentage recycled",South32,2020,6.1,%,% recycled,Manual,,,,
EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled ",South32,2023,"10,954,000",tonnes,Hazardous Waste,Manual,,,,
EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled ",South32,2022,"11,501,000",tonnes,Hazardous Waste,Manual,,,,
EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled ",South32,2021,"12,105,000",tonnes,Hazardous Waste,Manual,,,,
EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled ",South32,2020,"22,519,000",tonnes,Hazardous Waste,Manual,,,,
EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled ",South32,2019,"24,148,000",tonnes,Hazardous Waste,Manual,,,,
EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled ",South32,2023,"5,960,000",tonnes,Non-hazardous Waste,Manual,,,,
EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled ",South32,2022,"6,000,000",tonnes,Non-hazardous Waste,Manual,,,,
EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled ",South32,2021,"5,710,000",tonnes,Non-hazardous Waste,Manual,,,,
EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled ",South32,2020,"5,403,000",tonnes,Non-hazardous Waste,Manual,,,,
EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled ",South32,2019,"4,849,000",tonnes,Non-hazardous Waste,Manual,,,,
EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",South32,2023,3,num,predicted to occur,Manual,,,,
EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",South32,2022,3,num,predicted to occur,Manual,,,,
EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",South32,2023,1,num,actively mitigated,Manual,,,,
EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",South32,2022,1,num,actively mitigated,Manual,,,,
EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",South32,2023,1,num,under treatment,Manual,,,,
EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",South32,2022,1,num,under treatment,Manual,,,,
EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",South32,2023,33,%,predicted to occur,Manual,,,,
EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",South32,2022,33,%,predicted to occur,Manual,,,,
EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",South32,2023,11,%,actively mitigated,Manual,,,,
EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",South32,2022,11,%,actively mitigated,Manual,,,,
EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",South32,2023,11,%,under treatment,Manual,,,,
EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",South32,2022,11,%,under treatment,Manual,,,,
EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,South32,2023,607782,hectares,Total Land,Manual,,,,
EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,South32,2022,602057,hectares,Total Land,Manual,,,,
EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,South32,2021,658005,hectares,Total Land,Manual,,,,
EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,South32,2020,634521,hectares,Total Land,Manual,,,,
EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,South32,2019,689083,hectares,Total Land,Manual,,,,
EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,South32,2023,18623,hectares,Probable Disturbance,Manual,,,,
EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,South32,2022,18017,hectares,Probable Disturbance,Manual,,,,
EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,South32,2021,17312,hectares,Probable Disturbance,Manual,,,,
EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,South32,2020,16889,hectares,Probable Disturbance,Manual,,,,
EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,South32,2019,39039,hectares,Probable Disturbance,Manual,,,,
EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,South32,2023,12297,hectares,Proved Disturbance,Manual,,,,
EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,South32,2022,12106,hectares,Proved Disturbance,Manual,,,,
EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,South32,2021,11734,hectares,Proved Disturbance,Manual,,,,
EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,South32,2020,11584,hectares,Proved Disturbance,Manual,,,,
EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,South32,2019,23591,hectares,Proved Disturbance,Manual,,,,
EM-MM-210b.2,Number and duration of non-technical delays,South32,2023,8,num,Number of Delays,Manual,,,,
EM-MM-210b.2,Number and duration of non-technical delays,South32,2022,6,num,Number of Delays,Manual,,,,
EM-MM-210b.2,Number and duration of non-technical delays,South32,2021,1,num,Number of Delays,Manual,,,,
EM-MM-210b.2,Number and duration of non-technical delays,South32,2020,5,num,Number of Delays,Manual,,,,
EM-MM-210b.2,Number and duration of non-technical delays,South32,2023,3.3,days,Duration of Delays,Manual,,,,
EM-MM-210b.2,Number and duration of non-technical delays,South32,2022,2.3,days,Duration of Delays,Manual,,,,
EM-MM-210b.2,Number and duration of non-technical delays,South32,2021,0.3,days,Duration of Delays,Manual,,,,
EM-MM-210b.2,Number and duration of non-technical delays,South32,2020,1.3,days,Duration of Delays,Manual,,,,
EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",South32,2023,51.8,%,All Employees,Manual,,,,
EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",South32,2022,52.1,%,All Employees,Manual,,,,
EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",South32,2021,52.3,%,All Employees,Manual,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",South32,2023,0,num,Fatalities from safety incidents – total,Manual,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",South32,2022,2,num,Fatalities from safety incidents – total,Manual,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",South32,2021,1,num,Fatalities from safety incidents – total,Manual,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",South32,2020,1,num,Fatalities from safety incidents – total,Manual,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",South32,2019,1,num,Fatalities from safety incidents – total,Manual,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",South32,2023,0,num,Fatalities from health incidents – total,Manual,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",South32,2022,0,num,Fatalities from health incidents – total,Manual,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",South32,2021,0,num,Fatalities from health incidents – total,Manual,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",South32,2020,0,num,Fatalities from health incidents – total,Manual,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",South32,2019,0,num,Fatalities from health incidents – total,Manual,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",South32,2023,0,num,Fatality frequency – total,Manual,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",South32,2022,0.1,num,Fatality frequency – total,Manual,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",South32,2021,0,num,Fatality frequency – total,Manual,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",South32,2020,0,num,Fatality frequency – total,Manual,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",South32,2019,0,num,Fatality frequency – total,Manual,,,,
