Category,Indicator,SASB Indicator Name,Sub-Category,Units,2017,2018,2019,2020,2021,2022,2023,2024,Remarks
Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Total renewable energy consumed,Gigajoules (GJ),,,,,,,,,
Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Total energy consumed from grid electricity,Gigajoules (GJ),,,,,,,,,
Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Percentage energy consumed from grid electricity,%,,,,,,,,,
Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Percentage energy consumed from renewable electricity,%,,,,,,,,,
Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Total freshwater withdrawn,Cubic meters (m³),,,,,,,,,
Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Total freshwater consumed,Cubic meters (m³),,,,,,,,,
Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Total water withdrawn in high or extremely high baseline water stress areas,Cubic meters (m³),,,,,,,,,
Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Total water consumed in high or extremely high baseline water stress areas,Cubic meters (m³),,,,,,,,,
Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Percentage of water withdrawn in high or extremely high baseline water stress areas against total freshwater withdrawn,%,,,,,,,,,
Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Percentage of water consumed in high or extremely high baseline water stress areas against total freshwater consumed,%,,,,,,,,,
Water Management,EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations","Number of incidents of non-compliance associated with water quality permits, standards, and regulations",Count,,,,,,,,,
Waste Management,EM-MM-150a.1,"Total weight of tailings waste, percentage recycled",Total weight of tailing waste,Tonnes,,,,,,,,,
Waste Management,EM-MM-150a.1,"Total weight of tailings waste, percentage recycled",Total weight of tailing waste recycled,Tonnes,,,,,,,,,
Waste Management,EM-MM-150a.1,"Total weight of tailings waste, percentage recycled",Percentage of tailing waste recycled,%,,,,,,,,,
Waste Management,EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled ",Total weight of mineral waste,Tonnes,,,,,,,,,
Waste Management,EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled ",Total weight of mineral waste recycled,Tonnes,,,,,,,,,
Waste Management,EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled ",Percentage of mineral waste recycled,%,,,,,,,,,
Waste Management,EM-MM-150a.3,"Number of tailings impoundments, broken down by MSHA hazard potential",Number of tailing impoundments,Count,,,,,,,,,
Waste Management,EM-MM-150a.4,Total weight of non-mineral waste generated,Total weight of non-mineral waste generated,Tonnes,,,,,,,,,
Waste Management,EM-MM-150a.5,Total weight of tailings produced,Total weight of tailings produced,Tonnes,,,,,,,,,
Waste Management,EM-MM-150a.6,Total weight of waste rock generated,Total weight of waste rock generated,Tonnes,,,,,,,,,
Waste Management,EM-MM-150a.7,Total weight of hazardous waste generated,Total weight of hazardous waste generated,Tonnes,,,,,,,,,
Waste Management,EM-MM-150a.8,Total weight of hazardous waste recycled,Total weight of hazardous waste recycled,Tonnes,,,,,,,,,
Waste Management,EM-MM-150a.9,Number of significant incidents associated with hazardous materials and waste management,Number of significant incidents associated with hazardous materials and waste management,Count,,,,,,,,,
Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",Number of mine sites where acid rock drainage is predicted to occur,Count,,,,,,,,,
Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",Percentage of total mine sites where acid rock drainage is predicted to occur,%,,,,,,,,,
Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",Number of mine sites where acid rock drainage is actively mitigated,Count,,,,,,,,,
Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",Percentage of total mine sites where acid rock drainage is actively mitigated,%,,,,,,,,,
Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",Number of mine sites where acid rock drainage is under treatment or remediation,Count,,,,,,,,,
Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",Percentage of total mine sites where acid rock drainage is under treatment or remediation,%,,,,,,,,,
Biodiversity Impacts,EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,Total area of proved reserves in or near sites with protected conservation status or endangered species habitat,Hectares (Ha),,,,,,,,,
Biodiversity Impacts,EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,Percentage of total area of proved reserves in or near sites with protected conservation status or endangered species habitat,%,,,,,,,,,
Biodiversity Impacts,EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,Total area of probable reserves in or near sites with protected conservation status or endangered species habitat,Hectares (Ha),,,,,,,,,
Biodiversity Impacts,EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,Percentage of total area of probable reserves in or near sites with protected conservation status or endangered species habitat,%,,,,,,,,,
Human Rights,EM-MM-210a.1,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Total area of proved reserves in or near areas of conflict,Hectares (Ha),,,,,,,,,
Human Rights,EM-MM-210a.1,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Percentage of total area of proved reserves in or near areas of conflict,%,,,,,,,,,
Human Rights,EM-MM-210a.1,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Total area of probable reserves in or near areas of conflict,Hectares (Ha),,,,,,,,,
Human Rights,EM-MM-210a.1,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Percentage of total area of probable reserves in or near areas of conflict,%,,,,,,,,,
Human Rights,EM-MM-210a.2,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Total area of proved reserves in or near indigenous land,Hectares (Ha),,,,,,,,,
Human Rights,EM-MM-210a.2,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Percentage of total area of proved reserves in or near indigenous land,%,,,,,,,,,
Human Rights,EM-MM-210a.2,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Total area of probable reserves in or near indigenous land,Hectares (Ha),,,,,,,,,
Human Rights,EM-MM-210a.2,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Percentage of total area of probable reserves in or near indigenous land,%,,,,,,,,,
Community Relations,EM-MM-210b.2,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Number of non-technical delays,Count,,,,,,,,,
Community Relations,EM-MM-210b.2,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Duration of non-technical delays,Days,,,,,,,,,
Labour Relations,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Total number of employees covered under collective bargaining agreements,Count,,,,,,,,,
Labour Relations,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Total number of contractors covered under collective bargaining agreements,Count,,,,,,,,,
Labour Relations,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Percentage of employees covered under collective bargaining agreements,%,,,,,,,,,
Labour Relations,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Percentage of contractors covered under collective bargaining agreements,%,,,,,,,,,
Labour Relations,EM-MM-310a.2,Number and duration of strikes and lockouts,Number of strikes and lockouts,Count,,,,,,,,,
Labour Relations,EM-MM-310a.2,Number and duration of strikes and lockouts,Duration of strikes and lockouts,Days,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total number of MSHA incidents,Count,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total MSHA all-incidents rate,Rate (per million hours worked),,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total number of fatalities,Count,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total fatality rate,Rate (per million hours worked),,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total number of near misses,Count,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total near-miss frequency rate (NMFR),Rate (per million hours worked),,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees","Average hours of health, safety, and emergency response training for full-time employees",Hours,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees","Average hours of health, safety, and emergency response training for contract employees",Hours,,,,,,,,,
Business Ethics and Transparency,EM-MM-510a.2,Production in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index,Production in countries with the 20 lowest rankings in Transparency International's Corruption Perception Index,Tonnes,,,,,,,,,
Activity Metrics,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,Production of metal ores ,Tonnes,,,,,,,,,
Activity Metrics,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,Production of finished metal products,Tonnes,,,,,,,,,
Activity Metrics,EM-MM-000.B,"Total number of employees, percentage contractors",Total number of employees,Count,,,,,,,,,
Activity Metrics,EM-MM-000.B,"Total number of employees, percentage contractors",Total number of contractors,Count,,,,,,,,,
Activity Metrics,EM-MM-000.B,"Total number of employees, percentage contractors",Percentage of employees who are contractors,%,,,,,,,,,
